Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
RESTAURANT AUBERGE DU DONNEAU;Restaurant;Cuisine traditionnelle;;Place de l'Eglise;;44440;;;PANNECE;44118;47.4851523;-1.239992;Route (nationale/départ.)||RD9||0;;02 40 05 67 34;;landfamily@orange.fr;https://www.aubergedudonneau.fr/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g3348858-d5797643-Reviews-Auberge_du_Donneau-Pannece_Loire_Atlantique_Pays_de_la_Loire.html;"<div id=""TA_selfserveprop57"" class=""TA_selfserveprop"">;<ul id=""06PhYh22Mt"" class=""TA_links 6pgaxc"">;<li id=""NFZGOmIhB"" class=""LkNNrjYdAYe"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=57&amp;locationId=5797643&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,WiFi;65;1;20;1;0;;Français;oui;;56;oui;||||Que traiteur we pour plus de 25p.||||07:00||15:30||17:30||19:30||07:00||15:30||17:30||19:30||07:00||15:30||17:30||19:30||07:00||15:30||17:30||19:30||07:00||15:30||17:30||19:30||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.4851523, -1.239992;Loire-Atlantique
RESTAURANT BIOLOGIQUE LES METS TISSES;Restaurant;Cuisine traditionnelle;;21 bis rue de la Vernisserie;;44110;;;CHATEAUBRIANT;44036;47.7224626;-1.3770399;;06 81 69 15 05;02 40 28 19 12;;les-mets-tisses@orange.fr;;;;;;;;;non;;;Service en terrasse;32;;12;;;;;oui;12;20;oui;||||Ouvert du lundi au vendredi de 12h à 14h30 et le 1er vendredi soir du mois à partir de 19h||Fermé le samedi et dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 28 19 12||les-mets-tisses@orange.fr;;;||11,70||15,80||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.7224626, -1.3770399;Loire-Atlantique
RESTAURANT CHEZ P'TIT PERE;Restaurant;Cuisine traditionnelle;;14 rue de Pornic;Fresnay-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.0246339;-1.8765927;;;02 40 21 46 79;;;http://www.lecolvert.fr;;;;;;;;oui;sous la table en laisse;;Banquet;40;1;35;1;1;;Anglais;oui;;40;oui;||||||fermé 2ème quinzaine d'aout ||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:30||22:00||12:00||14:00||19:30||22:00||12:00||14:00||||;||02 40 21 46 79||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.0246339, -1.8765927;Loire-Atlantique
RESTAURANT CREPERIE LE CHAT BOTTE;Restaurant;Crêperie;;1 Rue des Rémouleurs;;44190;;;CLISSON;44043;47.0874241;-1.2822309;;;02 40 54 29 10;;lechatbotteclisson@gmail.com;https://www.facebook.com/lechatbotteclisson/;;;;;;;;;;;;40;;8;;;;;;;;;;;;;;;47.0874241, -1.2822309;Loire-Atlantique
RESTAURANT DU CASINO;Restaurant;Cuisine traditionnelle;;55 Boulevard de l'Océan;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.22928;-2.17614;;;02 28 53 20 00;;restaurant.stbrevin@joa.fr;https://www.joa.fr/casinos/saint-brevin/restauration-bars/restaurant;;;;;Guide du Routard Pays de la Loire,Le petit futé;;;;;Écotable,Qualité Tourisme;Séminaire,WiFi;124;1;60;;;;;oui;;;;01/01/2021||31/12/2021||midi et soir.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte soir et week-end||26,00||39,50||;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.22928, -2.17614;Loire-Atlantique
RESTAURANT DU GOLF CLUB DE NANTES;Restaurant;Cuisine traditionnelle;;Route départementale 81;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.2909056;-1.6999949;Aéroport/aérodrome||Aéroport de Nantes||20;;02 40 63 25 82;;accueil@golfclubdenantes.com;https://www.restaurant.golfclubdenantes.com/;"https://youtu.be/ifgXmqmMlnM ; https://youtu.be/iR9Qr6EisN4";"Facebook||https://www.facebook.com/restogolfclubdenantes ; Instagram||https://www.instagram.com/explore/locations/1998984016860579/restaurant-golf-club-de-nantes/?hl=frle%20pigron%20blanc";;;;;;non;;;Banquet,Séminaire,Service en terrasse,Traiteur,WiFi;250;5;148;3;1;;Anglais,Français;oui;;250;oui;;||||golfclubdenantes@aol.com;;;"Menu adulte du jour (midi en semaine)||||||1er menu à l'ardoise;Entrée/ Plat ou Plat/ Dessert (hors boissons) à 16.90€;Entrée/ Plat/ Dessert (hors boissons) à 20.90€;;2ème menu;Entrée/ Plat ou Plat/ Dessert (hors boissons) à 28€;Entrée/ Plat/ Dessert (hors boissons) à 32€;;Plat à l'ardoise";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2909056, -1.6999949;Loire-Atlantique
RESTAURANT FACTORY - ESPRIT BISTROT;Restaurant;Cuisine traditionnelle;;12 Route de Nantes;;44170;;;NOZAY;44113;47.5619655;-1.6268996;;;02 28 05 89 74;;;https://www.bistrotfactory.fr/;;Facebook||https://www.facebook.com/bistrot.factory/;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;||||Seulement à eomporter le dimanche soir||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||19:00||21:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.5619655, -1.6268996;Loire-Atlantique
RESTAURANT L'ÎLE AUX SAVEURS GOURMANDES;Restaurant;Cuisine traditionnelle;;32 Grande Rue;;44110;;;CHATEAUBRIANT;44036;47.7195461;-1.3759472;;06 01 92 89 63;02 53 66 92 45;;lileauxsaveursgourmandes@gmail.com;;;;;;;;;oui;;;Service en terrasse,WiFi;20;;;;;;Anglais;;;;oui;||||||fermé le mercredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 01 92 89 63||lileauxsaveursgourmandes@gmail.com;;;Plats à la carte||9,00||21,90||;Cartes bancaires,Chèques bancaires et postaux;47.7195461, -1.3759472;Loire-Atlantique
RESTAURANT LA GAVOTTE;Restaurant;Crêperie;;94 place de la Victoire;Varades;44370;;;LOIREAUXENCE;44213;47.3848419;-1.0297983;"Route (nationale/départ.)||RD723||0 ; Gare SNCF||Gare de Varades - St Florent-le-Vieil||1,6";;02 40 98 30 62;;;;;"Facebook||http://www.facebook.com/pages/La-gavotte/192020437488237 ; Tripadvisor||";;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse;70;1;20;0;0;;Anglais,Français;oui;2;20;oui;||||||||12:00||14:00||19:00||22:00||||||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;||02 40 98 30 62||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3848419, -1.0297983;Loire-Atlantique
LA CASE À PIZZAS;Restaurant;Restauration rapide;;21 bis Boulevard de la Résistance;;44130;;;BLAIN;44015;47.4724572;-1.7619784;;;02 40 51 96 45;;;http://www.lacaseapizzas44.com;;Facebook||https://www.facebook.com/lacaseapizza44;;;;;;;;;Plats à emporter;;;;;;;Anglais,Français;;;;oui;;||02 40 51 96 45||;;;;;47.4724572, -1.7619784;Loire-Atlantique
LA CAVE A PIZZ;Restaurant;Pizzeria;;Place de l'église;;44640;;;CHEIX-EN-RETZ;44039;47.18167;-1.81596;;;06 22 29 70 99;;;http://lacaveapizz.wix.com/simon;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.18167, -1.81596;Loire-Atlantique
LA COCOTTE EN PÂTE;Restaurant;Crêperie;;1 rue des Etaux;(face à l'église);44740;;;BATZ-SUR-MER;44010;47.27763;-2.48046;;;02 40 23 81 64;;lacocotteenpate@gmail.com;https://www.facebook.com/lacocotteenpate/;;;;;;;;oui;;;Service en terrasse;40;;35;;;;Anglais;oui;;25;;28/01/2022||31/12/2022||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||||||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.27763, -2.48046;Loire-Atlantique
LA CUCINA DES EVENS;Restaurant;Pizzeria;;14 boulevard Hennecart;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28186;-2.39065;;;02 40 15 43 56;;;https://www.facebook.com/cucinadesevens;;;;;;;;oui;;;Service en terrasse;100;;40;;;;Allemand,Anglais;oui;;100;;01/01/2022||31/12/2022||||||||||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.28186, -2.39065;Loire-Atlantique
LA DILANE;Restaurant;Crêperie;;8 rue Saillé;Intra-muros;44350;;;GUERANDE;44069;47.32736;-2.4296;;;02 28 55 89 71;;creperieladilane@gmail.com;;;;;;;;;;;;Service en terrasse,WiFi;45;;25;;;;;;;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces;47.32736, -2.4296;Loire-Atlantique
LA DUCHESSE ANNE;Restaurant;Cuisine traditionnelle;;82 Avenue du Président Roosevelt;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.22729;-2.17211;;06 09 53 60 21;;;laduchesseanne44@gmail.com;;;;;;Le petit futé;;;oui;;;Banquet,Séminaire,WiFi;180;1;60;;;;Anglais,Espagnol;oui;;70;;18/02/2023||11/11/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte soir et week-end||19,90||26,90||;Cartes bancaires,Tickets Restaurant;47.22729, -2.17211;Loire-Atlantique
LA FLAMBEE;Restaurant;Cuisine traditionnelle;;20 route de Saint Michel;;44210;;;PORNIC;44131;47.12302;-2.11168;;;02 40 82 03 53;;;;;;;;;;;oui;;;;100;1;;;;;;oui;;20;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.12302, -2.11168;Loire-Atlantique
LA FLORENTINA;Restaurant;Pizzeria;32, place de l'Hôtel de Ville;;;44260;;;SAVENAY;44195;47.3591088;-1.9437515;;;02 40 58 72 70;;;florentina-savenay.fr;;;;;Le petit futé;;;;;;Plats à emporter,Service en terrasse;60;2;20;;;;Français;oui;2;60;non;;Isabelle Ménoret||02 40 58 72 70||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3591088, -1.9437515;Loire-Atlantique
LA FOUÉE ENCHANTÉE - TRAITEUR;Restaurant;Bistrot / bar à vin;;Les vieilles Vignes;;44320;;;SAINT-PERE-EN-RETZ;44187;47.230548;-2.057473;;06 71 08 93 78;;;a.dumortier36@laposte.net;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.230548, -2.057473;Loire-Atlantique
LA GOURMANDISE;Restaurant;;;Quartier de l'océan;Allée des Embruns;44250;;;SAINT-BREVIN-LES-PINS;44154;47.2285724;-2.175676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2285724, -2.175676;Loire-Atlantique
LA MARE AUX OISEAUX;Restaurant;Restaurant gastronomique - cuisine raffinée;;223  rue du Chef de l'Ile;Fédrun;44720;;;SAINT-JOACHIM;44168;47.37283;-2.21363;;;02 40 88 53 01;02 40 91 67 44;accueil@mareauxoiseaux.fr;http://www.mareauxoiseaux.fr;;;;;Bottin Gourmand,Champerard,Gault Millau,Guide du Routard Pays de la Loire,Le petit futé,Michelin,Pudlowski;;;oui;;Association des maîtres cuisiniers de France,Écotable;Séminaire,WiFi;;;20;1;;;Anglais,Espagnol;oui;;120;;"02/01/2023||10/02/2023||Fermeture||Fermeture|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 10/02/2023||31/12/2023||Ouvert du mercredi au dimanche||Fermé le lundi et mardi||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;oui;||https://www.mareauxoiseaux.fr/||||02 40 88 53 01||;"Menu adulte soir et week-end||62,00||120,00|| ; Menu enfant||25,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.37283, -2.21363;Loire-Atlantique
LA MARIE GALANTE;Restaurant;Brasserie;;24 quai Saint-Paul;;44420;;;LA TURBALLE;44211;47.34801;-2.51232;;;02 40 11 81 82;;lamarie-galante@orange.fr;;;;;;Le petit futé;;;oui;;;;100;;20;;;;;oui;;30;;19/05/2021||09/06/2021||Fermé le dimanche et jeudi soir||||||||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.34801, -2.51232;Loire-Atlantique
LA MARÉE MONTE;Restaurant;Brasserie;;66 rue de Stalingrad;;44600;;;SAINT-NAZAIRE;44184;47.2778543;-2.2121167;"Gare SNCF||||1 ; Transport en commun||Ligne U4. Arrêt: Paquebot||0,15";;02 40 22 23 14;;;;;Facebook||https://fr-fr.facebook.com/pages/La-Mar%C3%A9e-Monte/172415599512411;;;Le petit futé;;;oui;;;WiFi;90;;40;;;;Anglais,Français;non;;;non;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||08:00||||||20:30||||||||;||02 40 22 23 14||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.2778543, -2.2121167;Loire-Atlantique
LA MIE CALINE;Restaurant;Restauration rapide;;22 quai du 11 Novembre 1918;;44210;;;PORNIC;44131;47.11546;-2.09973;;;02 40 82 06 78;02 40 82 11 42;majasteline@wanadoo.fr;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.11546, -2.09973;Loire-Atlantique
LA MIE CALINE;Restaurant;Restauration rapide;;53 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2784872;-2.2117346;"Gare SNCF||||1,5 ; Transport en commun||Ligne Hélyce - Arrêt: République||0,28 ; Transport en commun||Ligne U4 - Arrêt: Paquebot||0,057";;02 40 22 69 80;02 40 22 08 81;st-nazaire@lamiecaline.net;www.lamiecaline.com;;;;;;;;non;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;26;;20;;;;Français;non;;15;oui;01/01/2023||31/12/2023||Ouvert du lundi au samedi||Fermé le dimanche||06:30||||||18:00||06:30||||||18:00||06:30||||||18:00||06:30||||||18:00||06:30||||||18:00||06:30||||||18:00||||||||;||02 40 22 69 80||st-nazaire@lamiecaline.net;;;Menu adulte du jour (midi en semaine)||4,40||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2784872, -2.2117346;Loire-Atlantique
LA MUSARDIÈRE;Restaurant;Crêperie;;34 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2783322;-2.2090028;Transport en commun||Ligne U4 - Arrêt : Albert de Mun||0,1;;02 40 66 74 28;;;;;Facebook||https://www.facebook.com/La-Musardi%C3%A8re-240030932701394/;;;;;;oui;;;Plats à emporter / Covid-19,WiFi;29;;4;;;;Anglais,Français;oui;;26;oui;01/01/2023||31/12/2023||Ouvert du mardi au samedi + le lundi en juillet/août||Fermé le dimanche et lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 66 74 28||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2783322, -2.2090028;Loire-Atlantique
LA P'TITE CASE;Restaurant;;;Port de Plaisance;;44380;;;PORNICHET;44132;47.25858;-2.34598;;;;;contact@laptitecase.com;http://www.laptitecase.com;;;;;Le petit futé;;;;;;;;;;;;;;;;;;01/04/2021||31/10/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.25858, -2.34598;Loire-Atlantique
LA PLAGE;Restaurant;Cuisine traditionnelle;;Place du Commando;;44600;;;SAINT-NAZAIRE;44184;47.2707105;-2.2040164;;;02 40 45 27 74;;contact@restaurantlaplage.fr;https://www.restaurantlaplage.fr/;;Facebook||https://www.facebook.com/pg/LaPlageSN/;;;;;;;;;Service en terrasse;;;;;;;;;;;oui;01/01/2023||31/12/2023||Bar et terrasse 11h - 00h. Ouvert du lundi au dimanche 12h -14h30 / 19h30 - 22h30||Ouvert 7j/7||11:00||||||00:00||11:00||||||00:00||11:00||||||00:00||11:00||||||00:00||11:00||||||00:00||11:00||||||00:00||11:00||||||00:00;||02 40 45 27 74||;;;"Menu enfant||12,00|||| ; Plats à la carte||15,00||32,00||";Cartes bancaires,Espèces;47.2707105, -2.2040164;Loire-Atlantique
LA RÉSERVE - CAMPING DU MIGRON;Restaurant;;;La Chaussée du Migron;;44320;;;FROSSAY;44061;47.25741;-1.91339;;06 21 60 00 62;09 52 38 35 58;;campingdumigron@gmail.com;http://www.campingdumigron.wixsite.com/campingdumigron;;;;;;;;;;;Plats à emporter;;;;;;;Anglais;oui;;;;15/04/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux;47.25741, -1.91339;Loire-Atlantique
LA TABLE DE PAPA;Restaurant;Cuisine traditionnelle;;15 Les Trois Hermines;;44140;;;LE BIGNON;44014;47.1100474;-1.4724602;;;02 40 78 13 03;;latabledepapa@gmx.fr;http://www.latabledepapa.fr;;Facebook||https://www.facebook.com/latabledepaparestaurant/;;;;;;;;;Banquet,Climatisation,Plats à emporter,Séminaire,Service en terrasse,Traiteur;;;;;;;Français;oui;0;35;non;||||Du lundi au samedi le midi. Samedi et vendredi le soir.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 78 13 03||latapledepapa@gmx.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1100474, -1.4724602;Loire-Atlantique
LA VOLIÈRE DE MESQUER;Restaurant;Cuisine traditionnelle;;600 Route de Campzillon;;44420;;;MESQUER;44097;47.3897;-2.4693;;;02 51 10 17 94;;pigeonsdemesquer@orange.fr;https://www.lespigeonsdemesquer.com/;;;;;;;;;;;Séminaire,Service en terrasse;40;;40;;;;Anglais;oui;;60;;01/01/2021||31/12/2021||||||||||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.3897, -2.4693;Loire-Atlantique
LADY SUSHI;Restaurant;Cuisine du Monde;;15 rue du Pavé de Beaulieu;;44350;;;GUERANDE;44069;47.32861;-2.42614;;;02 40 15 68 18;;;https://lady-sushi.fr/;;;;;;;;;;;;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.32861, -2.42614;Loire-Atlantique
LB MER;Restaurant;Crêperie;;11 boulevard René Dubois;;44500;;;LA BAULE-ESCOUBLAC;44055;47.281;-2.38391;;;02 40 23 80 61;;sarljdrb@gmail.com;https://lb-mer.metro.rest/?lang=fr#contact;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||12:00||14:00||19:00||21:00||||||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;;;;;;47.281, -2.38391;Loire-Atlantique
LE 20;Restaurant;Cuisine traditionnelle;;20 rue de la Jalousie;;44980;;;SAINTE-LUCE-SUR-LOIRE;44172;47.2659786;-1.485968;;;02 40 25 81 56;;;;;;;;Le petit futé;;;;;;;82;1;60;0;1;;Anglais,Français;oui;20;60;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2659786, -1.485968;Loire-Atlantique
LE 3D;Restaurant;;;305 avenue du Maréchal de Lattre de Tassigny;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2868;-2.39239;;;02 40 60 24 49;;barle3d@sfr.fr;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/01/2022||31/12/2022||||||22:00||04:00||||||22:00||04:00||||||22:00||04:00||||||22:00||04:00||||||22:00||04:00||||||22:00||04:00||||||22:00||04:00||||;;;;;;47.2868, -2.39239;Loire-Atlantique
LE BISTRO BAULE;Restaurant;Cuisine traditionnelle;;15 avenue Georges Clémenceau;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28709;-2.39074;;;02 40 61 09 22;;;;;;;;;;;;;;Service en terrasse;23;;4;;;;;oui;;23;;03/02/2022||31/12/2022||||||12:00||14:00||19:00||21:00||||||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00;;;;;Cartes bancaires,Espèces;47.28709, -2.39074;Loire-Atlantique
LE BISTRONOMI'K;Restaurant;Cuisine traditionnelle;;20 rue de la Marine;;44210;;;PORNIC;44131;47.11518;-2.10261;;;02 44 06 50 03;;bistronomik44@free.fr;https://www.le-bistronomik.com/;;;;;Le petit futé,Pudlowski;;;oui;;;Banquet,WiFi;70;2;20;;;;;oui;;80;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11518, -2.10261;Loire-Atlantique
LE BISTROT;Restaurant;Brasserie;;11 avenue de la Gare;Bourgneuf-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.04643;-1.95548;;;02 40 64 39 68;;lebistrot44580@gmail.com;https://lebistrot44580.business.site/?utm_source=gmb&utm_medium=referral;;;;;;;;oui;;;Banquet,WiFi;;60;;;;;;oui;;90;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.04643, -1.95548;Loire-Atlantique
LE BON TEMPS;Restaurant;Pizzeria;;15 Place de l'Église;;44160;;;BESNE;44013;47.39664;-2.09158;"Transport en commun||Ligne T4 - Arrêt Besné Centre||0,17 ; Transport en commun||Ligne T5 - Arrêt Besné Centre||0,17";;02 40 11 93 46;;;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 11 93 46||;;;Plats à la carte||11,90||17,90||;;47.39664, -2.09158;Loire-Atlantique
LE BOUQUET GARNI;Restaurant;Cuisine traditionnelle;;38 rue Martin Luther King;;44240;;;LA CHAPELLE-SUR-ERDRE;44035;47.2972462;-1.552015;;;02 40 77 88 99;;;;;Facebook||https://www.facebook.com/lebouquet44240/;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2972462, -1.552015;Loire-Atlantique
LE BRETAGNE;Restaurant;Cuisine traditionnelle;;7 rue Joseph Grellier;;44730;;;SAINT-MICHEL-CHEF-CHEF;44182;47.18136;-2.14712;;06 40 43 97 08;02 40 27 84 60;;hotelbretagne.stmichel@orange.fr;;;;;;;;;;;;;80;2;;;;;;;;;;;;;;;;47.18136, -2.14712;Loire-Atlantique
LE CAFÉ JULES;Restaurant;Brasserie;;15 quai Jules Sandeau;Sur le Port;44510;;;LE POULIGUEN;44135;47.27709;-2.42815;;;02 40 42 31 79;;cafejules@orange.fr;http://www.cafejules.com;;;;;Gault Millau,Le petit futé;;;oui;;;WiFi;85;;40;;;;Anglais;oui;;;;01/01/2022||31/12/2022||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.27709, -2.42815;Loire-Atlantique
LE CALLUNA;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;Pointe Saint-Gildas;;44770;;;PREFAILLES;44136;47.1356;-2.24508;;;02 40 21 61 18;;reservation@lecalluna.com;http://www.lecalluna.com/;;;;;Le petit futé;;;oui;;Logis;Banquet,Séminaire,WiFi;150;2;;1;1;;;oui;20;150;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1356, -2.24508;Loire-Atlantique
LE CAR ET GOURMAND;Restaurant;Restauration rapide;;Le Grand Patis;;44850;;;SAINT-MARS-DU-DESERT;44179;47.3750519;-1.4543802;;07 88 19 73 43;;;lecaretgourmand@gmail.com;;;Instagram||https://www.instagram.com/lecaretgourmand/;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;;47.3750519, -1.4543802;Loire-Atlantique
LE CORALY;Restaurant;;;131 rue Aristide Briand;;44400;;;REZE;44143;47.1775173;-1.5439832;;;02 40 05 15 37;;restaurant_lecoraly@outlook.fr;www.restaurant-le-coraly.fr;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.1775173, -1.5439832;Loire-Atlantique
LE CROM TRAITEUR;Restaurant;;;;;44560;;;PAIMBOEUF;44116;47.28741;-2.031545;;;06 78 66 24 29;;lecrom.traiteur@gmail.com;https://le-crom-traiteur.webnode.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28741, -2.031545;Loire-Atlantique
LE DUGUAY TROUIN;Restaurant;;;26 quai Jules Sandeau;;44510;;;LE POULIGUEN;44135;47.27606;-2.42729;;;02 40 42 32 05;;leduguaytrouin@gmail.com;http://www.leduguay.fr;;;;;;;;oui;;Labellisé Restaurateurs de France,Maitres Restaurateurs;WiFi;48;;60;;;;Anglais;;;;;01/09/2022||31/10/2022||||||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30||10:30||13:30||18:00||21:30;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.27606, -2.42729;Loire-Atlantique
